번호,등록번호,서명,저자,출판사,출판년도,
541,BSL00175,돈그릇을 키우는 6가지 방법,김승현 지음,앤페이지,2022,
542,BSL00176,안녕이라 그랬어  : 김애란 소설,김애란,문학동네,2025,
543,BSL00177,(10년 후에도 변하지 않을) 지금의 조건에서 성공하는 법칙  : 부자들이 말해 주지 않는 진정한 경제적 자유를 얻는 기술,차정혁 지음,위닝북스,2017,
544,BSL00178,"대화의 일류,  이류,  삼류","기류 미노루 지음,이현욱 옮김",산솔미디어,2021,
545,BSL00179,나도 아침에 일찍 일어나고 싶다,"가지무라 나오후미 지음,조은아 옮김",북아지트 :작은우주,2018,
546,BSL00180,"공공선을 위하여  : 촘스키,  세상의 권력을 말하다","노엄 촘스키,인터뷰어: 데이비드 바사미언, 아서 네이먼,옮긴이: 강주헌,삽화가: 김용민",시대의창,2017,
547,BSL00181,향모를 땋으며  : 토박이 지혜와 과학 그리고 식물이 가르쳐준 것들,"로빈 월 키머러 지음,노승영 옮김",에이도스,2020,
548,BSL00182,제2의 성,"시몬 드 보부아르 지음,이희영 옮김.,1",동서문화사,2018,
549,BSL00183,"보통이 아닌 날들  : 가족사진으로 보는 재일조선인,  피차별부락,  아이누,  오키나와,  필리핀,  베트남 여성의 삶","미리내 엮음,양지연 옮김",사계절출판사,2019,
550,BSL00184,대한민국 자기계발 연대기  : 인문학으로 자기계발서 읽기,이원석 지음,필로소픽,2018,
551,BSL00185,바링허우  : 사회주의 국가에서 태어나 자본주의를 살아가다,"양칭샹 지음,김태성 옮김",미래의창,2017,
552,BSL00186,흑설탕이 아니라 마스코바도  : 필리핀 빈농의 설탕이 공정무역 상품이 되기까지,엄은희 지음.,따비,2019,
553,BSL00187,필리핀 경찰영사 사건수첩  : 대사관 경찰영사가 전하는 레알 필리핀 사건사고 이야기,박용증 지음,해드림출판사,2018,
554,BSL00188,"일공부력,전자자료 : 똑부러지게 일 잘하는 직장인의 비밀",이용태 지음,미다스북스,2018,
555,BSL00189,(사무실의) 정치학  : 권력 게임에서 자기방어와 자기이익을 얻어내는 인간관계의 기술,"잭 고드윈 지음,신수열 옮김",이책,2018,
556,BSL00190,절대 성공하지 못할 거야 : 공동 창업자 마크 랜돌프가 최초 공개하는 넷플릭스 창업 이야기,"마크 랜돌프 지음,이선주 옮김",덴스토리,2020,
557,BSL00191,출근이 칼퇴보다 즐거워지는 책  : 오늘도 사표 쓸까 망설이는 당신에게,장한이 지음,책들의정원,2017,
558,BSL00192,선생님의 영혼을 위한 닭고기 수프,"잭 캔필드,마크 빅터 한센,에이미 뉴마크 엮음,최선경,김병식 옮김",지식프레임,2018,
559,BSL00193,"블록체인 혁명  : 제4차 산업혁명 시대,  인공지능을 뛰어넘는 거대한 기술","돈 탭스콧,알렉스 탬스콧 지음,박지훈 옮김",을유문화사,2017,
560,BSL00194,"명견만리 : 윤리,  기술,  중국,  교육 편",KBS〈명견만리〉제작팀,인플루엔셜,2017,
561,BSL00195,명견만리  : 향후 인류에게 가장 중요한 것들을 말하다,KBS <명견만리> 제작팀 지음,인플루엔셜,2016,
562,BSL00196,명견만리(明見萬里)  : 지금까지 경험하지 못한 새로운 사회를 말하다,KBS <명견만리> 제작팀 지음,인플루엔셜,2017,
563,BSL00197,부와 혁신의 설계자들  : 그들은 어떻게 세상을 움직였고 성공했는가?,김환표 지음,북카라반,2018,
564,BSL00198,(포스트 차이나) 진짜 인도를 알려주마,박민준 지음,플랜지:북스,2017,
565,BSL00199,"출근길의 주문  : 일터의 여성들에게 필요한 말,  글,  네트워킹",이다혜,한겨레출판,2020,
566,BSL00200,위기탈출 경영혁명 : 첨단시대의 경영 바이블,"엘리 골드렛,로버트 폭스 공지음,홍성완 옮김",새길아카데미,2020,
567,BSL00201,"고교학점제,  어떻게 실천할 것인가? :  모두의 책임교육을 실현하는 공교육 진화 플랫폼",김삼향 외 지음,맘에드림,2021,
568,BSL00202,돈 없음 꿈 없음 남친 없음  : 미래를 자유롭게 선택하는 힘,"스즈키 미호 지음,강소정 옮김",이코노믹북스,2021,
569,BSL00203,"우리,  이토록 작은 존재들을 위하여","사샤 세이건 지음,홍한별 옮김",문학동네,2021,
570,BSL00204,우리가 만난 아이들,"이근아,김정화,진선민 지음",위즈덤하우스,2022,
571,BSL00205,"변신의 역사  : 늑대인간부터 지킬 박사까지,  신화와 전설과 예술 속 기이한 존재들의 흔적을 따라서","존 B. 카추바,옮긴이: 이혜경",미래의창,2021,
572,BSL00206,"17년째 버티고 있는 중입니다  : 지금 다니는 회사,  퇴사할까 '존버'할까",이명혜 지음,사이다 :씽크스마트,2021,
573,BSL00207,네가 진짜로 원하는 인생을 살아  : 꿈을 찾는 청소년을 위한 진로의 발견 43가지,임재성 지음,평단,2017,
574,BSL00208,하는 일마다 인정받는 사람들의 비밀,이은재 지음,다연,2019,
575,BSL00209,공소시효  : 법 위에 사는 사람들,강해인 지음,모아북스,2019,
576,BSL00210,결단  : 자수성가 백만장자들의 압도적 성공의 비밀,"롭 무어 지음,이진원 옮김",다산북스,2019,
577,BSL00211,남극으로 걸어간 산책자,"엘링 카게 지음,김지혜 옮김",다른,2020,
578,BSL00212,나는 내가 좋은 엄마인 줄 알았습니다  : 사랑한다면서 망치는 사람-인에이블러의 고백,"앤절린 밀러 지음,이미애 옮김",윌북,2020,
579,BSL00213,내가 찾던 것들은 늘 내 곁에 있었다  : 삶이 녹록지 않다고 생각하는 당신에게,"이노우에 히로유키 지음,양필성 옮김",스몰빅라이프 :스몰빅미디어,2020,
580,BSL00214,메모의 마법  : 펜 하나로 만드는 가장 쉽고 빠른 성공 습관,"마에다 유지 지음,김윤경 옮김",비즈니스북스,2020,
581,BSL00215,"충만한 삶,  존엄한 죽음","엘리자베스 퀴블러 로스 지음,장혜경 옮김",갈매나무,2020,
582,BSL00216,우리가 옳다!  : 세상을 뒤흔든 톨게이트 노동자들의 7개월,이용덕 지음,숨쉬는책공장,2020,
583,BSL00217,행동경제학  : 마음과 행동을 바꾸는 선택 설계의 힘,"리처드 탈러 지음,박세연 옮김",웅진지식하우스 :웅진씽크빅,2021,
584,BSL00218,작은 승리의 법칙  : 성공한 사람들만 알고 있는 놀라운 비밀,이성민 지음,나무와열매,2019,
585,BSL00219,"돈의 진격 : 포스트 코로나 시대,  부와 세계 경제의 길을 묻다",박구재 지음,황소자리,2022,
586,BSL00220,노 하드 필링스  : 직장생활이 힘든 당신이 알아야 할 감정의 행동과학,"리즈 포슬린,몰리 웨스트 더피 지음,안기순 옮김",파우제 :쎄듀,2019,
587,BSL00221,교육과정 문해력,유영식 지음,즐거운학교:테크빌교육,2019,
588,BSL00222,소년은 어떻게 사라지는가,"크리스티나 호프 소머즈 지음,서의윤 옮김",좁쌀한알,2019,
589,BSL00223,리더는 하루에 백 번 싸운다  : 정답이 없는 혼돈의 시대를 돌파하기 위한 한비자의 내공 수업,조우성 지음,인플루엔셜,2019,
590,BSL00224,그는 당신의 마지막 남자가 아니다 : &apos;진짜 내 남자&apos;를 찾는 관계의 기술,"스티브 하비 지음,송선인 옮김",북아지트,2019,
591,BSL00225,1분 안에 말하라  : 적게 말해도 인정받는 대화법,"사이토 다카시 지음,장은정 옮김",라이스메이커,2019,
592,BSL00226,꼼꼼한 쇼피 셀러 가이드북,서주영 지음,e비즈북스,2020,
593,BSL00227,나는 투자금 없이 아이디어만으로 돈을 번다!  : 이젠 아이디어 셀러 시대!,최규철 지음,비전코리아 :비전비엔피,2020,
594,BSL00228,미세먼지 지옥을 탈출하는 법,남충우,글나무,2020,
595,BSL00229,"나는 글 대신 말을 쓴다  : 치열한 방송 세계에서 살아가는 11년 차 방송 작가의 피땀,  눈물 체험담!",원진주 지음,HCbooks(힘찬북스),2019,
596,BSL00230,세상을 읽는 통찰의 순간들,김경준 지음,원앤원북스,2019,
597,BSL00231,우리는 누구나 1인 CEO이다  : 생각의 틀을 깨고 지속적으로 성장하는 최고의 방법,이태철 지음,BM성안당,2019,
598,BSL00232,"리부팅  = ,Re-Booting : 지친 &apos;나&apos;를 채우는 재충전의 기술",전옥표 지음,중앙books,2019,
599,BSL00233,공부 마스터 플랜  : 서울대 100인이 매일 실천한 60가지 체크 리스트,조승우 지음,포레스트북스,2019,
600,BSL00234,아이의 뇌에 상처 입히는 부모들  : 30년 경력의 소아정신과 전문의가 알려주는 최고의 육아법,"도모다 아케미 지음,이은미 옮김",북라이프,2019,
601,BSL00235,어떤 하루,신준모 지음,프롬북스,2019,
602,BSL00236,인생템  : 세상을 혁신적으로 바꿀 11인의 CEO,"김대건,김성규,김현진,류성우,박광호,박정은,박정현,장문식,정보한,권신영,장준원 지음",나비의 활주로,2019,
603,BSL00237,우리가 가르쳐야 할 것들  : 100세 시대 우리 교육의 방향,김종엽 지음,렛츠북,2022,
604,BSL00238,인생템  : 세상을 앞서 나가는 11인의 CEO,"김대근,신혁,김상필,김윤화,나수미,노현숙,문재훈,문종철,차동희,송지연,황훈식 지음",나비의활주로,2019,
605,BSL00239,"재정전쟁,전자자료  : 세금과 복지의 정치경제학",전주성 지음,웅진지식하우스 :웅진씽크빅,2022,
606,BSL00240,인간혁명의 시대  : 윤석만 기자의 미래 리포트,윤석만 지음,가디언,2018,
607,BSL00241,아비투스  : 인간의 품격을 결정하는 7가지 자본,"도리스 메르틴 지음,배명자 옮김",다산초당 :다산북스,2020,
608,BSL00242,황금지팡이 : 지혜로운 삶으로 이끄는 인생 매뉴얼,곽희섭 지음,한길,2019,
609,BSL00243,미러  : 나를 위로하고 사랑하게 하는 마법의 시간,"루이스 L. 헤이 지음,김태훈 옮김",센시오,2019,
610,BSL00244,(아주 사소한) 몸짓의 힘  : 말보다 더 강력한 7가지 소통의 기술,신경원 지음,북카라반,2019,
611,BSL00245,독서동아리 568-5말의 품격 : 말과 사람과 품격에 대한 생각들,이기주 지음,황소북스,2017,
612,BSL00246,누구를 리더로 세울 것인가  : 기업과 국가의 운명을 좌우할 리더 선택의 과학,"백기복,양동훈,송영수,고현숙",올림,2017,
613,BSL00247,뚜띠쿠치나에서 인문학을 만나다  : 혀끝이 아닌 삶으로 느끼는 맛,이현미 지음,모아북스,2019,
614,BSL00248,"피로 독립  : 여자,  서른이면 알아야 할 피로 회복의 기술","이와사키 이치로,마쓰무라 와카,와타나베 다카시,마쓰오 이쓰카 지음,정현옥 옮김",다른상상,2019,
615,BSL00249,인간과 인공지능 그리고 규범,계승균 저,부산대학교출판문화원,2022,
616,BSL00250,"코드  : 인생의 비밀을 밝히다  = ,Code reveals the secret of life",김우상 지음,명현서가,2023,
617,BSL00251,재난 인류  : 위기의 순간마다 답을 찾았던 인간의 생존 연대기,송병건 지음,위즈덤하우스,2022,
618,BSL00252,음식을 공부합니다  : 음식에 진심인 이들을 위한 '9+3'첩 인문학 밥상,주영하 지음,휴머니스트,2021,
619,BSL00253,소란스러운 동거  : 장애와 비장애의 벽을 허무는 &apos;사이&apos;의 이야기,박은영,IVP :한국기독학생회출판부,2022,
620,BSL00254,(은근 몰랐던) 일본 문화사 : 재미와 역사가 동시에 잡히는 세계 속 일본 읽기,조재면 지음,블랙피쉬:백도씨,2022,
621,BSL00255,조국의 시간  : 아픔과 진실 말하지 못한 생각,조국 지음,한길사,2021,
622,BSL00256,습관이 답이다 : 금수저나 엘리트가 아니어도 습관을 잘 쌓으면 이길 수 있다,"톰 콜리 지음,김정한 옮김",이터,2020,
623,BSL00257,지적 행복론  : 97세 경제학 교수가 물질의 시대에 던지는 질문  : '얼마나 부자가 되어야 행복할까?',"리처드 이스털린 지음,안세민 옮김",윌북,2022,
624,BSL00258,세종 다름과 어울림 : 공존을 위한 사회적 다양성,"민지영, 허태균, 신혜린, 박지훈, 이대현, 신지영, 유지원, 이보라, 전대원, 임소연, 윤석원, 윤태웅 지음",동아시아,2021,
625,BSL00259,"경제학 오디세이  : 경제학자의 눈으로 본 위험,  선택 그리고 불확실성의 역사","조지 슈피로 지음,김현정 옮김",비즈니스북스,2021,
626,BSL00260,기업 경영의 6가지 새로운 규칙  : ESG 시대가 요구하는 참된 가치 창출하기,"주디 새뮤얼슨 지음,번역협동조합 옮김",착한책가게,2021,
627,BSL00261,"완벽한 친절함으로부터의 고립  = ,Isolation from perfect kindness",엄태완 지음,바른북스,2022,
628,BSL00263,세상을 바꾼 공  : 공놀이는 어떻게 인류를 진화시켰나,김은식 지음,다른,2019,
629,BSL00264,"체인저블,전자자료 = ,Changeable : 빈털터리 청년 백수에서 700억대 억만장자가 되기까지","안드레스 피라 지음,이경식 옮김",윌북,2020,
630,BSL00265,마음을 요가합니다  : 분주한 일상에 충만한 기쁨,"아카네 아키코 지음,김윤희 옮김",미호,2020,
631,BSL00266,우리 아기는 지금 무슨 생각을 할까?  : 아빠가 처음인 정신과 의사의 슬기로운 육아 생활,려원기 글·그림,빈티지하우스,2020,
632,BSL00267,(개인사업자 및 중소기업 CEO를 위한) 중소기업 소상공인 세무 노무 컨설팅,"정원덕,최종국,김창수,장재호,김우영,박명철 공저",비즈북스,2021,
633,BSL00268,"지적인 어휘 생활 : 잘못 쓰고,  오해하고,  혼동하는 생활 어휘 바로잡기",김점식 지음,틔움출판,2023,
634,BSL00269,거인의 노트  : 인생에서 무엇을 보고 어떻게 기록할 것인가,김익한 지음,다산북스,2023,
635,BSL00270,AI 소사이어티  : 스마트 인류가 사는 세상,"김태헌,이벌찬 지음",미래의창,2022,
636,BSL00271,(노명우의) 한 줄 사회학  : 앎의 세계로 건너가기,노명우 지음,EBS Books :한국교육방송공사,2021,
637,BSL00272,(부자 아빠의) 세컨드 찬스 : 위기야말로 두 번째 기회다,"로버트 기요사키 지음,안진환 옮김",민음인,2019,
638,BSL00273,나는 친절한 죽음을 원한다,박중철 지음,홍익출판 미디어그룹,2022,
639,BSL00274,세종 아프면 보이는 것들 : 한국 사회의 아픔에 관한 인류학 보고서,제소희 외지음,후마니타스,2021,
640,BSL00275,머니  : 새로운 부의 법칙,"롭 무어 지음,이진원 옮김",다산북스,2019,
641,BSL00276,이것은 작은 브랜드를 위한 책,이근상 지음,몽스북,2022,
642,BSL00277,세계시민이 된 실험경제반 아이들,김나영 지음,앵글북스,2022,
643,BSL00278,최강의 실험경제반 아이들 : 대한민국 상위 1% 10대들의 특별한 경제 수업,"김나영 지음,정진염 그림",리틀에이,2022,
644,BSL00279,우리가 선택한 가족  : 가족의 재구성과 새로운 독립성의 시대,"에이미 블랙스톤 지음,신소희 옮김",문학동네,2021,
645,BSL00280,당신의 퀀텀리프  : 부·권력·지식의 위대한 도약,임춘성 지음,쌤앤파커스,2018,
646,BSL00281,세종교도소에 들어가는 중입니다,김도영 지음,봄름,2022,
647,BSL00282,하버드 지혜 수업  : 78가지 사례로 배우는 행복과 성공을 위한 연금술,"무천강 지음,정은지 옮김",리드리드출판,2021,
648,BSL00283,주가급등 사유 없음  : 세력의 주가 급등 패턴을 찾는 공시 매뉴얼,장지웅 지음,이상미디랩,2020,
649,BSL00284,이건희의 말  : 지행 33훈이 녹아 있는 천금의 어록,민윤기 엮음,스타북스,2020,
650,BSL00285,정책이 만든 가치  : 더 이상 정부에 의존하지 않는다,박진우 지음,모아북스,2022,
651,BSL00286,배움이 느린 아이들  : 학습 격차에 휘둘리는 아이와 부모를 위한 가톨릭의대 김영훈 교수의 공부머리 발달법,김영훈 지음,시공사,2022,
652,BSL00287,교실 생존 비법,미래교실네트워크 지음,에듀니티,2022,
653,BSL00288,"재정전쟁,전자자료  : 세금과 복지의 정치경제학",전주성 지음,웅진지식하우스 :웅진씽크빅,2022,
654,BSL00289,"책놀터 임포스터 = ,Impostor : 가면을 쓴 부모가 가면을 쓴 아이를 만든다",리사 손 지음,21세기북스:북이십일,2022,
655,BSL00290,"(딸에게 들려주는)헌법이야기 : 선의 평범성을 꿈꾸며,  아빠가 들려주는 친절한 헌법 이야기",이득진 지음,Gist press:광주과학기술원,2022,
656,BSL00291,구독전쟁  : 플랫폼 기업과의 경쟁에서 이길 수 있는 고객 네트워크 구축의 비밀,이승훈 지음,한스미디어 :한즈미디어,2021,
657,BSL00292,이름이 법이 될 때,정혜진 지음,동녘,2022,
658,BSL00293,"스틸 스탠딩  : 한국 사위 메릴랜드 주지사 래리 호건,  그 불굴의 삶과 원대한 비전","래리 호건,엘리스 헤니칸 지음,안진환 옮김",봄이아트북스,2020,
659,BSL00294,"미식가의 어원 사전,전자자료  : 모든 메뉴에는 이름이 있다","앨버트 잭 지음,정은지 옮김",윌북,2022,
660,BSL00295,나는 집 하나로 실거주하면서 월세도 받는다,정일교 지음,책들의정원,2022,
661,BSL00296,&apos;부의 미래&apos;를 여는 11살 돈 공부,김성화 지음,코리아닷컴(대성),2022,
662,BSL00297,"생일을 모르는 아이  : 학대 그 후,  지켜진 삶의 이야기","구로카와 쇼코 지음,양지연 옮김",사계절(사계절출판사),2022,
663,BSL00298,스포츠로 만나는 지리기,최재희 지음,곰곰,2022,
664,BSL00299,책놀터 플랫폼 경제 무엇이 문제일까?,한세희 지음,동아엠앤비,2021,
665,BSL00300,해외구매대행으로 평생 돈 벌기  : n잡러시대 부캐로 방구석에서 투잡하기,"이준열,기대원 지음",Ritec Contents(리텍 콘텐츠),2021,
666,BSL00301,픽사 스토리텔링  : 고객의 마음을 사로잡는 9가지 스토리 법칙,"매튜 룬 지음,박여진 옮김",현대지성,2022,
667,BSL00302,몸 교과서,"강준호,김정효,송형석,박재범,문효열 글,이지후 그림",김영사,2022,
668,BSL00303,"대통령이 된 사람들  : 김녕만 사진집  = ,Men who became president : Kim Nyung-man photo book","김녕만,영문 천시영",윤진,2022,
669,BSL00304,터지는 콘텐츠는 이렇게 만듭니다  : 클릭을 유도하는 컨셉부터 트래픽을 만들어내는 노하우까지,박창선 지음,유영 :다산북스,2021,
670,BSL00305,"히든 리치  = ,Hidden rich  : 모두가 궁금했지만 아무도 묻지 못한 부자를 향한 3개의 질문",고스트라이터 지음,빈티지하우스,2021,
671,BSL00306,거인들의 비밀,문주용 지음,Izi(이지퍼블리싱),2022,
672,BSL00307,"기후위기 부의 대전환,전자자료  = ,Climate crisis the great shift of wealth  : 기후변화 10년 후 한국의 미래와 생존전략",홍종호 지음,다산북스,2023,
673,BSL00308,(처음 시작하는) 비폭력 수업  : 학교폭력에 대처하는 세계의 교육,김선 지음,혜화동,2021,
674,BSL00309,(월 500 임대료 받는 엄마의) 상가 투자 시크릿,안선이 지음,원앤원북스,2022,
675,BSL00310,문명의 운명  : 금용자본주의인가 산업자본주의인가,"마이클 허드슨,옮긴이: 조행복",아카넷,2023,
676,BSL00311,(루이제 린저의) 통일로 가는 길  : 문통정권의 팬덤정치가 위태롭다  : 윤소암 불교정치 평론집,윤소암,명성서림,2022,
677,BSL00312,"초연결  : 구글,  아마존,  애플,  테슬라가 그리는 10년 후 미래","W. 데이비드 스티븐슨 지음,김정아 옮김",다산북스,2019,
678,BSL00313,"사장학 수업  = ,A business administration class  : 사장이 넘어야 할 다섯 개의 산",김형곤 지음,다산북스,2023,
679,BSL00314,마흔 제갈량의 지혜를 읽어야 할 때  : 천 년의 역사 속에서 그 가치를 검증받은 제갈량의 지모집  : 전략기획가 제갈량에게 배우는 창의적 사고와 결단력,"쌍찐롱 지음,박주은 옮김",다연,2017,
680,BSL00315,부자아빠의 돈 공부  : 200억 부자아빠가 아들에게만 알려주는 재테크의 비밀 33,이용기 지음,동양북스,2024,
681,BSL00316,"공감으로 집권하라  : 자유,  헌신 그리고 혁신",이영풍 지음,글통,2020,
682,BSL00317,주가 폭등 20가지 급소  : 아무도 알려주지 않은 주가 상승의 시그널,김병철,리드리드,2021,
683,BSL00318,"디지털 신세계 메타버스를 선점하라,전자자료  : 앞으로 인류가 살아갈 가상 세계를 위한 새로운 경제 패러다임","자오궈둥,이환환,쉬위엔중 공지음,정주은 옮김,김정이 감수",미디어숲 :다빈치하우스,2022,
684,BSL00319,"틱톡 마케팅  = ,Tiktok marketing  : 매일 15초로 나의 브랜드를 광고하라!","박준서,노고은,임헌수 공저",이코노믹북스,2021,
685,BSL00320,"(김윤석의) 디테일한 부동산 절세 비법 : 기초 개념부터 주택,  상가,  토지,  상속·증여까지",김윤석 지음,원앤원북스,2022,
686,BSL00321,"한중 해양문명 교류 오천년  = ,5, 000 years of Korea-China oceanic civilization exchange","논고: 강봉룡,권덕영,서광덕,윤용구,이주헌,이진한,하세봉,陳明良,陸偉,王麗明,賈賓,陳江,번역감수: 방국화",국립해양박물관,2022,
687,BSL00323,"플랫폼 제국의 미래 : 구글,  아마존,  페이스북,  애플 그리고 새로운 승자","스콧 갤러웨이 지음,이경식 옮김",비즈니스북스,2020,
688,BSL00324,(꾸준함을 이기는) 아주 짧은 집중의 힘,"하야시 나리유키 지음,이정현 옮김.",위즈덤하우스,2021,
689,BSL00325,"넥스트 실리콘밸리  = ,Next silicon vally  : 다음 구글은 인도에서 나온다","다케야리 유키오 지음,정승욱 옮김",세종,2019,
690,BSL00326,계획이 실패가 되지 않게  : 반드시 결과를 내는 탁월한 실행의 기술,이소연 지음,다산북스,2021,
691,BSL00327,"심리학이 돈을 말하다,전자자료  = ,Psychology of money","저우신위에 지음,박진희 옮김",미디어숲 :다빈치하우스,2021,
692,BSL00328,(인생에 한 번은) 유대인처럼  : 세계 상위 1퍼센트 유대인의 생각 수업,"자오모,자오레이 공 지음,김정자 옮김",북유럽,2020,
693,BSL00329,더 시스템  : 거의 모든 일에 실패하던 자가 결국 큰 성공을 이루어낸 방법,"스콧 애덤스,옮긴이: 김인수",베리북,2020,
694,BSL00330,"(위기의 시대) 돈의 미래,전자자료  : 세계 3대 투자자 짐 로저스가 말하는 새로운 부의 흐름","짐 로저스 지음,야마자키 료헤이 엮음,전경아 옮김",리더스북 :웅진씽크빅,2020,
695,BSL00331,직장인에서 직업인으로,김호 지음,김영사,2020,
696,BSL00332,현명한 투자자,"벤저민 그레이엄 지음,이건 옮김",국일증권경제연구소,2020,
697,BSL00333,이치로 사고  : 고독을 견디고 성공을 움켜잡는 77가지 방법,"고다마 미쓰오 지음,김진희 옮김",에이케이커뮤니케이션즈,2022,
698,BSL00334,"머니 프레임,  돈을 바라보는 새로운 관점  : '돈의 감각'을 깨우는 네 가지 부의 공식",신성진 지음,천그루숲,2020,
699,BSL00335,기획자의 관찰법  : 기획자는 무엇을 보고 어떻게 발상하는가?,박경수 지음,빈티지하우스,2022,
700,BSL00336,에코페미니즘,"마리아 미스,반다나 시바 지음,손덕수,이난아 옮김",창비,2021,
701,BSL00337,"에이트  = ,Eight  : 인공지능에 대체되지 않는 나를 만드는 법",이지성 지음,차이정원,2019,
702,BSL00338,양산역스마트 타이탄의 도구들 : 1만 시간의 법칙을 깬 거인들의 61가지 전략,"팀 페리스 지음,박선령,정지현 옮김",Tornado(토네이도),2020,
703,BSL00339,(워렌 버핏의) 초우량주 투자전략,"류젠웨이 지음,이승수 옮김",이코노믹북스,2021,
704,BSL00341,"료의 생각 없는 생각  : philosophy Ryo  : being youself,  not being someone",료 지음,열림원,2025,
705,BSL00342,배달장사의 진짜 부자들  : 성공하는 작은 식당 소자본 배달시장의 모든 것,"장배남TV,손승환 지음",리드리드출판,2023,
706,BSL00345,"한나 아렌트,  세 번의 탈출  : 한나 아렌트의 삶과 사상을 그래픽노블로 만나다","켄 크림슈타인 글·그림,최지원 옮김",더숲,2019,
707,BSL00348,취향의 경제  : 취향의 시대는 산업과 소비를 어떻게 바꾸는가,유승호 지음,따비,2021,
708,BSL00351,세종도서 나는 아마존에서 미래를 다녔다,박정준 지음,한빛비즈,2019,
709,BSL00352,패턴 파괴  : 최적한 성과와 관계를 만드는 컬럼비아 대학교 갈등고리 해결 프로젝트,"제니퍼 골드먼 웨츨러 지음,김현정 옮김",흐름출판,2022,
710,BSL00354,어른의 행복은 조용하다,태수 지음,페이지2북스,2025,
711,BSL00355,"청춘의 독서,전자자료 : 세상을 바꾼 위험하고 위대한 생각들",유시민 지음,웅진지식하우스:웅진씽크빅,2025,
712,BSL00356,무역과 세계화 개론,"에이먼 버틀러 지음,황수연 옮김",리버티,2022,
713,BSL00357,평범하게 비범한 철학 에세이  : 5분 뚝딱 철학,김필영 지음,스마트북스,2023,
714,BSL00358,(4차 산업혁명 시대 미래형 인재를 만드는) 최고의 교육,"로베르타 골린코프,캐시 허시-파섹,옮긴이: 김선아",예문아카이브,2018,
715,BSL00359,내일  : 새로운 세상이 온다,"시릴 디옹 지음,권지현 옮김",한울림,2017,
716,BSL00360,40대에 도전해서 성공한 부자들  : 마흔 이후라서 성공할 수 있는 14가지 절대 이유,유동효 지음,유노북스,2018,
717,BSL00361,무의식은 어떻게 나를 설계하는가  : 나를 살리기도 망치기도 하는 머릿속 독재자,"데이비드 이글먼 지음,김승욱 옮김",RHK(알에이치코리아),2024,
718,BSL00362,100억 머니 시크릿  : 감사하라! 그러면 부자가 되리라,샤넬 서 지음,국일미디어,2021,
719,BSL00363,미디어 읽고 쓰기  : 건강한 미디어 생활을 위한 미디어 리터러시,이승화 지음,시간여행,2021,
720,BSL00364,온 세상이 사회 교과서  : 태어나서 죽기까지 생애 매 순간마다 직면하는 '진짜' 내 삶의 문제들,"전국사회교사모임,최성은,김유란,박은선,오승한,한상희,한재은 지음",해냄에듀,2022,
721,BSL00365,"세종 그건 내 건데 : 기본소득,  모두가 조건 없이 찾아야 할 권리","이선배 지음, 김휘승 그림",내일을여는책,2022,
722,BSL00366,세계미래보고서 2021  : 포스트 코로나 특별판,"박영숙,제롬 글렌 지음",비즈니스북스,2020,
723,BSL00367,"세계미래보고서 2020  = ,State of the future  : 2020년,  블루오션이 될 기술로 미래를 선점하라!","박영숙,제롬 글렌 공지음",교보문고,2019,
724,BSL00368,세계미래보고서 2055,"박영숙, 제롬글렌 지음",비지니스북스,2017,
725,BSL00369,"세계미래보고서 2050 = ,State of the future : the millennium project","박영숙,제롬 글렌 공지음,이영래 옮김",교보문고,2018,
726,BSL00370,"생태적 글쓰기를 하는 마음  : 나와 세상을 연결하고 공감력을 키우는 글쓰기로 우리 삶을 회복하기  : 책문화생태학자 정윤희의 오늘도 내일도,  사람을 살리는 생태적 글쓰기 수업",정윤희 지음,Park & Jeong,2023,
727,BSL00371,인권도서 이주노동자를 묻는 십대에게 : 움직이는 노동력 뒤 진짜 사람 이야기,"이란주 글,Juno 그림",서해문집,2022,
728,BSL00372,"더 스타트업 카르텔  = ,The startup cartel  : 대한민국 스타트업 생태계 최신 리포트","김영록,김민지 지음",티핑포인트,2017,
729,BSL00373,(10대라면 반드시 알아야 할)4차 산업혁명과 인공지능 : 미래를 바꾸는 디지털 시대와 인공지능을 이해하는 45가지 질문들,"신성권,서대호 공지음,손영오 그림",팬덤북스,2022,
730,BSL00374,(생각이 많은 10대를 위한) 토론 수업 청소년,"김희균 지음,백두리 그림",나무생각,2022,
731,BSL00375,"우리,  아파트 딱 100채만 보러 가보자  : 돈 되는 아파트를 찾는 입지분선 X파일",아이리 지음,원앤원북스,2022,
732,BSL00376,우리도 사랑할 수 있을까  : 행복하려거든 사랑하라,오연호 지음,오마이북,2019,
733,BSL00377,우리도 행복할 수 있을까 : 행복지수1위 덴마크에서 새로운 길을 찾다,오연호 지음,오마이북,2017,
734,BSL00378,신착 숫자 사회,임의진 지음,웨일북,2023,
735,BSL00379,"결혼 10년 차,  강남에 내 집이 생겼습니다",쿠오오 부부 지음,원앤원북스,2021,
736,BSL00380,(윌리엄 H,"윌리엄 H.맥레이븐 지음,이재욱 옮김",미래지식,2023,
737,BSL00381,부의 추월차선(10주년 스페셜 에디션) : 부자들이 말해 주지 않는 진정한 부를 얻는 방법,"엠제이 드마코 지음,신소영 옮김",토트,2022,
738,BSL00382,언스크립티드  : 부의 추월차선 완결판,"엠제이 드마코 지음,안시열 옮김",토트,2018,
